0.5		0.
1.000E+00	1.10483E-03
2.000E+00	3.52633E+00
3.000E+00	7.13449E+01
4.000E+00	2.45909E+02
5.000E+00	4.31652E+02
6.000E+00	5.52985E+02
7.000E+00	6.24137E+02
8.000E+00	6.57173E+02
9.000E+00	6.66905E+02
1.000E+01	6.44502E+02
1.100E+01	5.82441E+02
1.200E+01	5.09169E+02
1.300E+01	4.32625E+02
1.400E+01	3.60207E+02
1.500E+01	2.98839E+02
1.600E+01	2.46129E+02
1.700E+01	2.01936E+02
1.800E+01	1.63872E+02
1.900E+01	1.19218E+02
2.000E+01	9.35284E+01
2.200E+01	5.84436E+01
2.400E+01	3.84793E+01
2.600E+01	2.54372E+01
2.800E+01	1.69618E+01
3.000E+01	5.70762E+00
3.500E+01	2.68012E+00
4.000E+01	1.68493E+00
4.500E+01	9.78951E-01
5.000E+01	6.71874E-01
5.500E+01	5.76467E-01
6.000E+01	3.58981E-01
6.500E+01	2.54565E-01
7.000E+01	1.79334E-01
7.500E+01	1.31053E-01
8.000E+01	9.77220E-02
9.000E+01	5.35336E-02
1.000E+02	3.06002E-02
1.100E+02	1.94392E-02
1.200E+02	1.23023E-02
1.300E+02	7.47654E-03
1.400E+02	6.97574E-03
1.500E+02	4.80704E-03
1.600E+02	3.15559E-03
1.800E+02	2.02288E-03
2.000E+02	1.14498E-03
