1.000E+00	0.00000E+00
2.000E+00	0.00000E+00
3.000E+00	2.73949E-05
4.000E+00	1.32062E-02
5.000E+00	3.36997E-01
6.000E+00	6.92394E+00
7.000E+00	4.49015E+01
8.000E+00	1.43225E+02
9.000E+00	2.73771E+02
1.000E+01	3.94337E+02
1.100E+01	4.93566E+02
1.200E+01	5.73692E+02
1.300E+01	6.37910E+02
1.400E+01	6.51812E+02
1.500E+01	5.87400E+02
1.600E+01	4.51616E+02
1.700E+01	3.18579E+02
1.800E+01	2.16434E+02
1.900E+01	1.43666E+02
2.000E+01	9.80638E+01
2.200E+01	5.19826E+01
2.400E+01	3.09401E+01
2.600E+01	2.08586E+01
2.800E+01	1.56899E+01
3.000E+01	1.26548E+01
3.500E+01	8.04409E+00
4.000E+01	5.38819E+00
4.500E+01	3.70751E+00
5.000E+01	2.63509E+00
5.500E+01	1.83343E+00
6.000E+01	1.34242E+00
6.500E+01	1.00516E+00
7.000E+01	7.30640E-01
7.500E+01	5.51252E-01
8.000E+01	4.26408E-01
9.000E+01	2.54306E-01
1.000E+02	1.58749E-01
1.100E+02	1.02475E-01
1.200E+02	6.74221E-02
1.300E+02	4.68375E-02
1.400E+02	3.25355E-02
1.500E+02	2.34498E-02
1.600E+02	1.59825E-02
1.800E+02	7.86012E-03
2.000E+02	4.01897E-03
